Genuity Systems Ltd,"Artificial Intelligence and automation,Fintech,SaaS,Mobile Development,Web Development","<a href=""https://genusys.us/"">Website</a>","Mirpur 11 bus stand, Opposite to Shishu Academy, Mirpur, Dhaka."
Giga Tech Limited,"Artificial Intelligence,Deep Learning,Blockchain,Java,Python,Django,JavaScript,.NET","<a href=""https://gigatechltd.com/"">Website</a>","SAM Tower (Level 7)House No. 4, Road No 22, Gulshan-1, Dhaka-1212, Bangladesh"
Golden Harvest InfoTech Ltd (GHIT),"C#,ASP Dot Net,MVC,Web API,Dot Net Core,PHP,Java,Spring,MVC,Java EE Framework,MYSQL,MS-SQL Server,Oracle,Angular JS,React JS","<a href=""http://ghitbd.com/"">Website</a>","Rupayan Shelford (9th Floor), 23/6, Mirpur Road, Shyamoli, Dhaka-1207, Bangladesh."
Grameen Solutions Ltd,"Java,PHP","<a href=""https://www.grameensolutions.com/"">Website</a>","Grameen Bank Tower 12th Floor, Mirpur 2, Dhaka 1216"
Grit Technologies Limited,"Javascript,Python,Go,PHP,PostgreSQL,MongoDB,React Native,Figma,Cypress,Docker,AWS,Microservices,IoT,LLM,XR","<a href=""https://www.grit0.com/"">Website</a>","Level 4, Vision 2021 Tower, 49 Kawran Bazar, Dhaka 1215"
hSenid Mobile Solutions Limited,"Java,Kotlin,NodeJS,Apache,Spring Framework,JUnit,Mokito,Mysql,Jenkins,AWS","<a href=""https://www.hsenidmobile.com/"">Website</a>","HR Bhaban (6th Floor), 100, Br Uttom A.K. Khandaker Sarak, Mohakhali C/A, Dhaka 1212"
HypeScout,"JavaScript,React,Node,Mongoose,Flutter,Swift","<a href=""https://www.hypescout.co/"">Website</a>","Banani, Road 2/1, Dhaka-1212."
IBCS-Primax,"Java,Spring","<a href=""http://www.ibcs-primax.com/ibcsonweb/"">Website</a>","House 51, Road 10A, Dhanmondi R/A, Dhaka-1209, Bangladesh"
IBOS Limited,"JavaScript,React,Java,PHP,MySQL","<a href=""https://www.ibos.io"">Website</a>","6/2 Kazi Nazrul Islam Rd, Lalmatia, Dhaka 1207"
IdeaScale Bangladesh,"Java,Spring Framework,JPA,JMS,jQuery,ReactJS","<a href=""https://ideascale.com/"">Website</a>","Quantum Mustafa Tower (Floor: 4&amp;5) 18, Gaus-ul-Azam Avenue, Sector-13 Uttara, Dhaka"
InfancyIT,"PHP,Java,Android,iOS,Laravel,JavaScript,Node.js,Vue.js,React.js,React Native","<a href=""http://www.infancyit.com"">Website</a>","2nd Floor, Elahi 8B, Surma Gate, Akhalia, Sylhet-3100, Bangladesh"
Inflack Limited,"PHP,Laravel,JAVA,Spring,JavaScript,Python,Django,REST,Microservices,SQL,NoSQL,SQS,SNS","<a href=""http://inflack.com/"">Website</a>","H-36, B-A, R-1, Bashundhara Residential Area, Dhaka"
Infocrat Solutions Ltd.,"C#,.NET","<a href=""https://www.infocratsolutions.com/"">Website</a>","Rupayan Shelford (9th Floor), 23/6, Mirpur Road, Shyamoli, Dhaka-1207, Bangladesh."
Instalogic,"PHP,Laravel,MySQL,Java,Python,Django,JavaScript,React,Drupal,Angular,Vue,Wordpress","<a href=""https://instalogic.com.bd/"">Website</a>","3rd Floor, House-483, Road-08, Baridhara DOHS, Dhaka-1206"
Integrated Software and Technologies Ltd.,"C,Java,jQuery","<a href=""https://www.istlbd.com/"">Website</a>","Avenue 9, Road 9, House 1043 (2nd Floor), DOHS Mirpur, Dhaka, Bangladesh"
Intellier Limited,"Java,Spring,REST","<a href=""https://intellier.com/"">Website</a>","House 10, Road 14, Sector 01, Uttara, Dhaka 1230"
iPay,"Android,Java,HTML,CSS,MongoDB,PostgreSQL","<a href=""https://www.ipay.com.bd/"">Website</a>","52 Gulshan Avenue, Silver Tower (Level 12), Dhaka-1212"
Invento Software Limited,"JavaScript,Python,Django,WordPress,PHP","<a href=""http://invento.com.bd/"">Website</a>","House no: 484 (4th Floor), Road no 32, Mohakhali DOHS, Dhaka 1206"
Inverse.AI,"Web,Android,iOS","<a href=""https://inverseai.com/"">Website</a>","11th floor, Ananda Tower, Jail Rd, Sylhet 3100"
IPvision,Java,"<a href=""http://ipvision.ca/"">Website</a>","House 57, Road 8, Block D, Niketon, Dhaka-1212"
"IQVIA, Dhaka",".Net,Python,Javascript,Angular","<a href=""https://www.iqvia.com/"">Website</a>","51, 52 Bir Uttam AK Khandakar Road, Dhaka 1212"
Isratts Technologies,"","<a href=""http://www.israttstech.com/"">Website</a>","House 58, Road 05, O R Nizam Rd R/A, GEC, Chattogram, Bangladesh"
ITmedicus,"PHP,Laravel,Java,Kotlin,Dart","<a href=""http://itmedicus.com/"">Website</a>","Eastern Housing, Basherpool, Demra, Bangladesh"
Innovative Software,"Java,Android,Python","<a href=""http://innovativesoftware.eu/"">Website</a>","Behind Venus Auto, Chuknagar, Khulna Road Bangladesh"
IXORA Solution,"React,Vue,Typescript,NodeJS,Django,SpringBoot,Flutter,Swift,SQL,MongoDB","<a href=""https://ixorasolution.com"">Website</a>","Jahangir Tower (7th Floor), M-5, Section-14, Mirpur, Dhaka-1206."
Jatri Services Limited,"Web App,Mobile App,IoT","<a href=""https://www.jatri.co"">Website</a>","Road 24, House 15, Gulshan-02, Dhaka 1212"
Joomshaper,"Joomla,WordPress,HTML5,CSS3,JavaScript,React","<a href=""https://www.joomshaper.com"">Website</a>","Navana Newbury Place, 4/1/A Sobhanbag Rd, Dhaka-1205"
JoulesLabs,"WordPress,HTML5,CSS3,JavaScript,React","<a href=""https://jouleslabs.com/"">Website</a>","A-6, 6th Floor, House 666/668, Road 09, Avenue 04, Dhaka 1216"
Kaz Software,".Net,Java,PHP,AngularJS,React","<a href=""http://kaz.com.bd/"">Website</a>","28/1 Eskaton Garden, Dhaka, Bangladesh"
